Date,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,52W H,52W L,VOLUME,VALUE,No of trades 
05-Jul-24,68,68,67,68,68,68,78,25,63395768,4289682073,176068
04-Jul-24,66,68,65,66,68,68,78,25,79104545,5302954399,176055
03-Jul-24,65,67,65,65,66,66,78,25,29738133,1952293059,92941
02-Jul-24,65,65,64,65,65,65,78,25,17156394,1113639966,77650
01-Jul-24,65,66,65,65,65,65,78,25,16562927,1078574162,83240
28-Jun-24,65,65,65,65,65,65,78,25,21702101,1407902571,100143
27-Jun-24,66,66,64,66,65,65,78,25,25769251,1680230467,107084
26-Jun-24,66,66,65,66,66,66,78,25,18993673,1247858531,75324
25-Jun-24,66,67,66,66,66,66,78,25,23880497,1581220610,83370
24-Jun-24,66,67,65,66,66,66,78,25,65131252,4341536337,174162
21-Jun-24,66,67,65,66,66,66,78,25,50904821,3364553055,178259
20-Jun-24,65,66,64,64,66,66,78,25,60939382,4002096693,179106
19-Jun-24,67,67,64,67,65,64,78,25,80175603,5200070185,271089
18-Jun-24,68,68,66,67,67,67,78,25,49565992,3312498568,148648
14-Jun-24,67,68,66,66,67,67,78,25,72458465,4866662764,160399
13-Jun-24,68,68,66,67,67,66,78,25,88527323,5916472076,210003
12-Jun-24,67,68,67,66,67,67,78,25,148224727,10042813911,348695
11-Jun-24,65,67,63,70,66,66,78,25,903995564,58502942245,938960
10-Jun-24,75,76,70,77,70,70,78,25,198568520,14371811461,385943
07-Jun-24,71,78,71,70,78,77,78,25,150325869,11199440799,256366
06-Jun-24,69,71,69,67,70,70,77,25,47965069,3374482926,116378
05-Jun-24,68,69,63,66,67,67,77,25,60921960,4032490368,186043
04-Jun-24,73,74,58,73,66,66,77,25,177923891,12041753333,445496
03-Jun-24,75,75,71,66,73,73,77,25,173742360,12640762668,420304
31-May-24,66,67,65,65,66,66,77,25,66064005,4354624211,180120
30-May-24,67,68,64,73,66,65,77,25,373284764,24591850634,417482
29-May-24,71,73,70,72,73,73,77,25,23853528,1711422050,58190
28-May-24,73,74,70,73,72,72,77,25,26423616,1889292569,73362
27-May-24,73,77,73,73,73,73,77,25,38678723,2871561616,99095
24-May-24,74,75,72,74,73,73,76,25,24457035,1784512359,71567
23-May-24,74,76,73,73,74,74,76,25,57402260,4274089648,124051
22-May-24,70,74,68,69,74,73,74,25,125764439,9143339406,211948
21-May-24,69,72,69,69,69,69,73,25,35872834,2512613020,91002
18-May-24,69,70,69,68,69,69,73,25,4913097,339202885,21848
17-May-24,66,69,66,66,69,68,73,25,18453263,1243008252,52091
16-May-24,66,66,65,66,66,66,73,25,7408879,487906753,26020
15-May-24,67,67,66,66,66,66,73,25,11425846,755622946,38065
14-May-24,64,66,64,64,66,66,73,25,13412522,873743958,36182
13-May-24,64,64,61,63,64,64,73,25,27711411,1732299379,68390
10-May-24,67,67,62,66,63,63,73,25,36108053,2287323704,92069
09-May-24,68,69,65,68,66,66,73,25,19907026,1339028116,58040
08-May-24,67,69,66,66,68,68,73,25,27267864,1845432635,64890
07-May-24,68,68,65,68,66,66,73,25,23782432,1585172519,66384
06-May-24,70,70,65,70,68,68,73,25,28254815,1911607587,80072
03-May-24,70,71,69,70,70,70,73,25,25805633,1801637872,61939
02-May-24,68,71,68,68,70,70,73,25,38107997,2666322638,101951
30-Apr-24,69,70,68,69,68,68,73,25,14051413,962327659,38522
29-Apr-24,69,70,69,69,69,69,73,25,26318661,1815018462,42544
26-Apr-24,68,70,68,68,69,69,73,25,31097107,2151516403,67844
25-Apr-24,68,69,67,68,68,68,73,25,15248650,1042094215,38858
24-Apr-24,69,69,67,68,67,68,73,25,10009891,679847701,29459
23-Apr-24,68,70,67,67,68,68,73,25,18131130,1240035964,44093
22-Apr-24,67,68,66,66,67,67,73,25,12180791,814885414,36251
19-Apr-24,64,67,63,65,66,66,73,25,25533696,1672200359,59254
18-Apr-24,67,68,65,66,65,65,73,25,16692921,1107147074,46806
16-Apr-24,65,68,65,66,66,66,73,25,22049532,1462102123,56334
15-Apr-24,65,68,63,68,66,66,73,25,33350965,2181621536,83304
12-Apr-24,69,70,68,69,68,68,73,25,21734964,1497874711,60365
10-Apr-24,70,70,67,70,70,69,73,25,31257424,2140027072,77577
09-Apr-24,71,72,69,70,70,70,73,25,41770958,2928574593,110696
08-Apr-24,68,73,68,67,70,70,73,25,97754754,6916006796,233108
05-Apr-24,63,68,63,63,67,67,72,25,61806407,4096623450,116776
04-Apr-24,64,65,63,64,63,63,72,25,15416408,981156254,40157
03-Apr-24,64,64,63,64,64,64,72,25,14624101,930417324,46850
02-Apr-24,62,65,61,61,64,64,72,25,27692371,1759664112,71517
01-Apr-24,59,62,59,59,61,61,72,25,23178098,1405652383,56196
28-Mar-24,59,60,58,59,59,59,72,23,10126639,596353614,27429
27-Mar-24,59,60,58,58,59,59,72,23,17913769,1060941694,39021
26-Mar-24,60,60,58,59,58,58,72,23,9747610,571984642,34700
22-Mar-24,60,60,58,59,60,59,72,23,21976043,1303369432,49287
21-Mar-24,55,59,55,54,59,59,72,23,41411701,2417582209,82526
20-Mar-24,55,56,53,54,54,54,72,23,11503320,622445085,34397
19-Mar-24,55,56,54,55,54,54,72,23,11004826,602097221,40276
18-Mar-24,58,58,54,57,55,55,72,23,18875893,1044790745,76100
15-Mar-24,56,60,55,56,57,57,72,23,36564735,2109168687,97628
14-Mar-24,50,56,49,51,56,56,72,23,22659199,1222306546,57978
13-Mar-24,57,58,51,57,51,51,72,23,32853939,1743484816,114476
12-Mar-24,59,60,56,59,57,57,72,23,18801756,1068035957,68115
11-Mar-24,62,62,59,61,59,59,72,23,10811086,646663105,56858
07-Mar-24,63,64,61,61,61,61,72,23,12180543,755240200,43930
06-Mar-24,62,62,59,62,61,61,72,23,14619538,881812569,59174
05-Mar-24,63,63,62,63,62,62,72,23,7518960,467696771,34223
04-Mar-24,65,65,63,64,63,63,72,23,10189006,641755980,48902
02-Mar-24,64,65,64,64,65,64,72,23,1320385,85006708,14051
01-Mar-24,64,66,64,63,64,64,72,23,11785960,759499526,37854
29-Feb-24,63,64,62,64,63,63,72,23,17545354,1106402863,54822
28-Feb-24,67,67,63,66,64,64,72,23,15401272,986925373,57901
27-Feb-24,67,68,66,67,66,66,72,23,16748936,1119185430,43106
26-Feb-24,67,69,66,67,67,67,72,23,23600950,1601552086,63195
23-Feb-24,68,68,66,67,67,67,301,23,12155205,812783197,39981
22-Feb-24,66,68,63,66,67,67,301,23,14367255,945292545,46571
21-Feb-24,66,68,65,66,66,66,301,23,12325814,819049197,52023
20-Feb-24,67,67,65,67,66,66,301,23,6145605,404516107,37372
19-Feb-24,68,68,66,67,66,67,301,23,7905253,528759563,50442
16-Feb-24,67,68,66,66,67,67,301,23,14907399,1001457773,56245
15-Feb-24,67,68,64,67,66,66,301,23,21938423,1463814486,83270
14-Feb-24,60,67,59,61,67,67,301,23,27709690,1781545000,107484
13-Feb-24,60,62,56,62,61,61,301,23,25839432,1526776439,121989
12-Feb-24,68,69,62,68,62,62,301,23,27204198,1728077600,160280
09-Feb-24,70,70,64,70,69,68,301,23,28112918,1871976894,138762
08-Feb-24,70,71,69,69,70,70,301,23,21906789,1531136675,78761
07-Feb-24,71,71,68,70,69,69,301,23,19014537,1317637411,110042
06-Feb-24,71,72,67,70,70,70,301,23,27312713,1894465909,110497
05-Feb-24,68,72,67,67,70,70,301,23,62417172,4389530679,246240
02-Feb-24,66,69,66,65,67,67,301,23,38530998,2616165611,145369
01-Feb-24,69,70,64,66,65,65,301,23,60845497,4091923365,191634
31-Jan-24,69,69,64,68,66,66,301,23,63999206,4235575152,189123
30-Jan-24,63,69,60,60,68,68,301,23,272853553,17779952677,403864
29-Jan-24,52,61,52,51,61,60,301,23,193249563,11152807424,298542
25-Jan-24,50,51,49,49,51,51,307,23,31690503,1589688732,58974
24-Jan-24,48,50,48,48,49,49,307,23,29902836,1459448721,54902
23-Jan-24,50,51,47,49,48,48,307,23,64100446,3181924855,123659
20-Jan-24,48,50,47,47,49,49,314,23,36551594,1777722421,66785
19-Jan-24,47,48,47,47,47,47,314,23,36216844,1719485412,53973
18-Jan-24,46,47,45,46,47,47,314,23,45405014,2117291382,58401
17-Jan-24,46,46,45,46,46,46,314,23,22197819,1009302130,42673
16-Jan-24,47,48,45,47,46,46,314,23,26567865,1237020362,50354
15-Jan-24,47,47,46,46,47,47,314,23,21616947,1006028024,41522
12-Jan-24,47,47,46,46,46,46,314,23,21115082,976782083,36250
11-Jan-24,46,47,46,46,46,46,314,23,34441866,1597211080,52262
10-Jan-24,46,48,45,46,46,46,314,23,58437846,2700341893,68681
09-Jan-24,44,47,44,42,46,46,314,23,171494774,7857590493,193376
08-Jan-24,43,43,42,42,42,42,314,23,22206153,938169228,35001
05-Jan-24,43,44,42,43,43,42,324,23,20810476,890067284,36599
04-Jan-24,42,44,42,42,43,43,324,23,47299270,2030919770,52870
03-Jan-24,41,42,41,41,42,42,324,23,12161090,504495046,20769
02-Jan-24,42,42,41,42,41,41,324,23,13407529,556224182,23693
01-Jan-24,42,43,42,42,42,42,324,23,20165348,847440358,29817
29-Dec-23,42,42,41,41,42,42,324,23,20739600,862421379,23561
28-Dec-23,42,42,41,42,41,41,324,23,11815914,490214375,23327
27-Dec-23,42,42,41,42,42,42,324,23,16119184,670393958,29064
26-Dec-23,42,42,41,42,42,42,324,23,12750085,532930650,26296
22-Dec-23,42,43,41,42,42,42,324,23,28375867,1184136129,38605
21-Dec-23,38,42,37,39,42,42,324,23,44663321,1795764263,51907
20-Dec-23,42,43,39,42,39,39,324,23,32378430,1307862240,54669
19-Dec-23,43,43,42,42,42,42,324,23,23137072,972817618,38723
18-Dec-23,41,44,41,41,43,42,324,23,63978473,2725898046,81056
15-Dec-23,42,42,40,41,41,41,329,23,38149920,1588035077,46061
14-Dec-23,40,42,40,40,41,41,329,23,33783031,1388003645,38308
13-Dec-23,41,41,40,41,40,40,329,23,20274933,814060060,26806
12-Dec-23,41,41,40,41,41,41,329,23,30302954,1234234374,38607
11-Dec-23,40,41,39,40,41,41,329,23,36989120,1495783803,51140
08-Dec-23,40,41,39,38,40,40,329,23,85045630,3404421743,101264
07-Dec-23,37,39,37,37,38,38,329,23,43289440,1654082358,36567
06-Dec-23,38,38,37,37,37,37,329,23,14132211,528412476,19636
05-Dec-23,38,38,37,38,37,37,329,23,22208785,828438825,30370
04-Dec-23,38,39,38,37,38,38,329,23,13650270,516993897,24251
01-Dec-23,37,38,37,37,37,37,329,23,15237425,574501697,21927
30-Nov-23,38,38,37,38,37,37,329,23,15633404,583063723,21535
29-Nov-23,38,38,37,38,38,38,329,23,17454132,658270619,22692
28-Nov-23,39,39,38,39,38,38,329,23,28065936,1074930458,39353
24-Nov-23,38,40,37,38,39,39,329,23,69360517,2688956349,67037
23-Nov-23,37,38,37,37,38,38,329,23,24579921,924961137,27724
22-Nov-23,37,38,36,37,37,37,329,23,27813666,1021859904,33646
21-Nov-23,38,38,37,38,37,37,329,23,21259621,795820212,25653
20-Nov-23,38,39,37,38,38,38,329,23,48932409,1856862772,50657
17-Nov-23,36,39,35,36,38,38,329,23,119401189,4509234163,101781
16-Nov-23,36,36,35,35,36,36,329,23,21545080,765415455,19956
15-Nov-23,35,37,35,35,35,35,329,23,43354166,1550585339,34835
13-Nov-23,35,35,35,35,35,35,329,23,12836165,448390412,16669
12-Nov-23,35,36,35,35,36,35,329,23,6653410,235570401,16480
10-Nov-23,35,35,35,35,35,35,329,23,13714863,479076500,14862
09-Nov-23,35,36,35,35,35,35,329,23,45186751,1613782497,43078
08-Nov-23,35,35,34,35,35,35,329,23,18764035,654959048,20798
07-Nov-23,35,36,35,35,35,35,329,23,37369104,1327636704,33848
06-Nov-23,35,36,35,35,35,35,329,23,28421525,997886665,30250
03-Nov-23,34,35,34,34,35,35,329,23,29612654,1027146689,32023
02-Nov-23,34,34,34,34,34,34,329,23,13690934,463967697,14895
01-Nov-23,34,34,33,34,34,34,329,23,21018364,706992925,20721
31-Oct-23,34,35,33,34,34,34,329,23,20998509,710178612,21520
30-Oct-23,34,35,34,33,34,34,329,23,58815778,2027450058,56885
27-Oct-23,33,34,33,32,33,33,329,23,22358948,738576430,24191
26-Oct-23,32,33,31,33,32,32,329,23,47421840,1512251911,42367
25-Oct-23,33,34,32,32,33,33,329,23,50913489,1664591144,42510
23-Oct-23,36,36,32,35,32,32,329,23,79801414,2680098056,71422
20-Oct-23,36,37,35,35,35,35,329,23,128678046,4631193214,94928
19-Oct-23,35,36,34,35,35,35,329,23,88674830,3131380528,77803
18-Oct-23,33,37,33,33,35,35,329,23,205624652,7225846276,171526
17-Oct-23,32,33,32,32,33,33,329,23,26660304,875603509,25126
16-Oct-23,33,33,32,32,32,32,329,23,8441425,272420505,14016
13-Oct-23,32,33,32,32,33,32,329,23,17476042,568412631,17106
12-Oct-23,33,33,32,32,32,32,329,23,12910576,416842221,15993
11-Oct-23,33,34,32,33,32,32,329,23,32200046,1060462420,35574
10-Oct-23,32,33,32,31,33,33,329,23,37328446,1215068258,39288
09-Oct-23,32,33,31,33,31,31,329,23,29925369,953065988,36601
06-Oct-23,31,33,31,31,32,33,329,23,38361313,1227717519,36319
05-Oct-23,31,32,31,31,31,31,329,23,10553299,327637440,14589
04-Oct-23,31,31,30,31,31,31,329,23,15827986,490857108,22136
03-Oct-23,32,32,30,32,31,31,329,23,20496356,639815375,21056
29-Sep-23,32,32,32,32,32,32,329,23,10133352,321999022,17796
28-Sep-23,32,32,31,31,32,32,329,23,13597378,431836366,21083
27-Sep-23,32,32,31,32,32,31,329,23,12554444,397347594,18692
26-Sep-23,33,33,32,32,32,32,329,23,42189353,1364608831,48018
25-Sep-23,30,33,30,30,32,32,329,23,91082419,2898989975,75087
22-Sep-23,30,30,29,30,30,30,329,23,26746326,798529213,28491
21-Sep-23,30,31,29,30,30,30,329,23,28933728,862049388,35498
20-Sep-23,31,31,30,31,30,30,329,23,17177041,528321531,30619
18-Sep-23,31,33,31,31,32,31,329,23,24520908,778088377,30472
15-Sep-23,32,33,31,32,31,31,329,23,46746456,1459749160,42139
14-Sep-23,32,33,32,32,32,32,329,23,15777013,508192539,20518
13-Sep-23,33,33,31,32,32,32,329,23,46375706,1486754260,30830
12-Sep-23,34,34,31,34,32,32,329,23,65239070,2081845580,67622
11-Sep-23,35,35,34,33,34,34,329,23,42614572,1468624218,61559
08-Sep-23,34,35,33,33,34,33,329,23,63829997,2156160255,70472
07-Sep-23,31,33,30,31,33,33,329,23,84618310,2736878242,74681
06-Sep-23,31,31,30,31,30,31,329,23,12322700,375490936,15404
05-Sep-23,31,32,30,31,31,31,329,23,30146312,928782821,31258
04-Sep-23,31,32,31,30,31,31,329,23,37366357,1161492288,38517
01-Sep-23,28,31,28,28,30,30,329,23,53663698,1595297452,44484
